tail;head;relation
Boilermakers;marine fitter;narrowMatch
Boilermakers;container equipment assembler;narrowMatch
Brickmasons and Blockmasons;bricklayer;exactMatch
Stonemasons;stonemason;exactMatch
Carpenters;carpenter;exactMatch
Carpet Installers;carpet fitter;exactMatch
Floor Layers, Except Carpet, Wood, and Hard Tiles;resilient floor layer;broadMatch
Tile and Stone Setters;tile fitter;broadMatch
Cement Masons and Concrete Finishers;concrete finisher;exactMatch
Terrazzo Workers and Finishers;terrazzo setter;broadMatch
Construction Laborers;building construction worker;broadMatch
Construction Laborers;road construction worker;broadMatch
Construction Laborers;civil engineering worker;broadMatch
Construction Laborers;concrete finisher;broadMatch
Construction Laborers;demolition worker;broadMatch
Paving, Surfacing, and Tamping Equipment Operators;road construction worker;exactMatch
Paving, Surfacing, and Tamping Equipment Operators;road roller operator;broadMatch
Paving, Surfacing, and Tamping Equipment Operators;scraper operator;broadMatch
Paving, Surfacing, and Tamping Equipment Operators;road maintenance worker;broadMatch
Paving, Surfacing, and Tamping Equipment Operators;grader operator;broadMatch
Pile Driver Operators;pile driving hammer operator;exactMatch
Operating Engineers and Other Construction Equipment Operators;bulldozer operator;broadMatch
Operating Engineers and Other Construction Equipment Operators;excavator operator;broadMatch
Operating Engineers and Other Construction Equipment Operators;road roller operator;broadMatch
Operating Engineers and Other Construction Equipment Operators;scraper operator;broadMatch
Operating Engineers and Other Construction Equipment Operators;road construction worker;broadMatch
Operating Engineers and Other Construction Equipment Operators;grader operator;broadMatch
Drywall and Ceiling Tile Installers;ceiling installer;broadMatch
Electricians;electrician;exactMatch
Electricians;industrial electrician;broadMatch
Electricians;domestic electrician;broadMatch
Electricians;building electrician;broadMatch
Electricians;event electrician;broadMatch
Glaziers;plate glass installer;exactMatch
Glaziers;vehicle glazier;broadMatch
Insulation Workers, Floor, Ceiling, and Wall;insulation worker;narrowMatch
Insulation Workers, Mechanical;insulation worker;narrowMatch
Painters, Construction and Maintenance;construction painter;exactMatch
Paperhangers;paperhanger;exactMatch
Paperhangers;advertising installer;broadMatch
Pipelayers;drainage worker;broadMatch
Pipelayers;sewer construction worker;broadMatch
Pipelayers;civil engineering worker;narrowMatch
Plumbers, Pipefitters, and Steamfitters;plumber;broadMatch
Plumbers, Pipefitters, and Steamfitters;sprinkler fitter;broadMatch
Solar Thermal Installers and Technicians;solar energy technician;narrowMatch
Plasterers and Stucco Masons;plasterer;broadMatch
Roofers;roofer;exactMatch
Sheet Metal Workers;sheet metal worker;exactMatch
Structural Iron and Steel Workers;structural ironworker;exactMatch
Solar Photovoltaic Installers;solar energy technician;exactMatch
Helpers, Construction Trades, All Other;tent installer;broadMatch
Construction and Building Inspectors;utilities inspector;broadMatch
Construction and Building Inspectors;construction quality inspector;broadMatch
Construction and Building Inspectors;construction safety inspector;broadMatch
Construction and Building Inspectors;building inspector;broadMatch
Construction and Building Inspectors;bridge inspector;broadMatch
Energy Auditors;energy analyst;broadMatch
Energy Auditors;energy conservation officer;broadMatch
Energy Auditors;energy consultant;broadMatch
Energy Auditors;renewable energy consultant;broadMatch
Energy Auditors;domestic energy assessor;broadMatch
Energy Auditors;energy assessor;exactMatch
Elevator and Escalator Installers and Repairers;lift technician;exactMatch
Fence Erectors;building construction worker;narrowMatch
Hazardous Materials Removal Workers;decontamination worker;broadMatch
Hazardous Materials Removal Workers;asbestos abatement worker;broadMatch
Hazardous Materials Removal Workers;liquid waste treatment plant operator;broadMatch
Highway Maintenance Workers;road maintenance worker;exactMatch
Highway Maintenance Workers;road marker;broadMatch
Highway Maintenance Workers;road sign installer;broadMatch
Highway Maintenance Workers;snow-clearing worker;broadMatch
Rail-Track Laying and Maintenance Equipment Operators;rail maintenance technician;exactMatch
Rail-Track Laying and Maintenance Equipment Operators;rail layer;broadMatch
Septic Tank Servicers and Sewer Pipe Cleaners;septic tank servicer;broadMatch
Septic Tank Servicers and Sewer Pipe Cleaners;sewerage cleaner;broadMatch
Segmental Pavers;road construction worker;narrowMatch
Derrick Operators, Oil and Gas;derrickhand;exactMatch
Rotary Drill Operators, Oil and Gas;oil rig motorhand;broadMatch
Rotary Drill Operators, Oil and Gas;drill operator;exactMatch
Rotary Drill Operators, Oil and Gas;driller;exactMatch
Excavating and Loading Machine and Dragline Operators, Surface Mining;surface mine plant operator;broadMatch
Excavating and Loading Machine and Dragline Operators, Surface Mining;surface miner;broadMatch
Earth Drillers, Except Oil and Gas;tunnel boring machine operator;broadMatch
Explosives Workers, Ordnance Handling Experts, and Blasters;bomb disposal technician;broadMatch
Continuous Mining Machine Operators;underground heavy equipment operator;exactMatch
Roof Bolters, Mining;underground heavy equipment operator;narrowMatch
Loading and Moving Machine Operators, Underground Mining;underground heavy equipment operator;broadMatch
Loading and Moving Machine Operators, Underground Mining;underground miner;broadMatch
Rock Splitters, Quarry;stone splitter;exactMatch
Rock Splitters, Quarry;mineral crushing operator;broadMatch
Rock Splitters, Quarry;stone planer;broadMatch
Rock Splitters, Quarry;stone driller;broadMatch
Roustabouts, Oil and Gas;roustabout;exactMatch
Helpers--Extraction Workers;mining assistant;exactMatch
First-Line Supervisors of Mechanics, Installers, and Repairers;vehicle maintenance supervisor;broadMatch
First-Line Supervisors of Mechanics, Installers, and Repairers;garage manager;broadMatch
First-Line Supervisors of Mechanics, Installers, and Repairers;industrial maintenance supervisor;broadMatch
First-Line Supervisors of Mechanics, Installers, and Repairers;precision mechanics supervisor;broadMatch
First-Line Supervisors of Mechanics, Installers, and Repairers;water conservation technician supervisor;broadMatch
Computer, Automated Teller, and Office Machine Repairers;computer hardware repair technician;exactMatch
Computer, Automated Teller, and Office Machine Repairers;ICT technician;narrowMatch
Computer, Automated Teller, and Office Machine Repairers;ATM repair technician;broadMatch
Computer, Automated Teller, and Office Machine Repairers;office equipment repair technician;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;telecommunications technician;narrowMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;telecommunications equipment maintainer;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;communication infrastructure maintainer;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;radio technician;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;telecommunications engineering technician;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;telecommunications engineer;broadMatch
Radio, Cellular, and Tower Equipment Installers and Repairers;mobile phone repair technician;broadMatch
Telecommunications Equipment Installers and Repairers, Except Line Installers;telecommunications technician;exactMatch
Telecommunications Equipment Installers and Repairers, Except Line Installers;radio technician;broadMatch
Avionics Technicians;avionics technician;exactMatch
Avionics Technicians;aircraft maintenance technician;broadMatch
Avionics Technicians;aerospace engineering technician;broadMatch
Electric Motor, Power Tool, and Related Repairers;electrical mechanic;exactMatch
Electric Motor, Power Tool, and Related Repairers;electrician;narrowMatch
Electric Motor, Power Tool, and Related Repairers;automotive electrician;broadMatch
Electric Motor, Power Tool, and Related Repairers;power tool repair technician;broadMatch
Electrical and Electronics Installers and Repairers, Transportation Equipment;telecommunications technician;narrowMatch
Electrical and Electronics Installers and Repairers, Transportation Equipment;marine electronics technician;broadMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;consumer electronics repair technician;exactMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;electrician;narrowMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;industrial electrician;broadMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;building electrician;broadMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;marine electronics technician;broadMatch
Electrical and Electronics Repairers, Commercial and Industrial Equipment;railway electronic technician;broadMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;electrician;narrowMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;industrial electrician;broadMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;building electrician;broadMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;street lighting electrician;broadMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;electrical power distributor;broadMatch
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay;overhead line worker;broadMatch
Electronic Equipment Installers and Repairers, Motor Vehicles;vehicle electronics installer;exactMatch
